"Page Title","UI Component Name","Function description","Tshirt Sizing","Number of occurrences","Complexity justification","Page URL","Source block name","Variation type","Variation description","Other remarks"
"Homepage","Header Navigation","Sticky site header with logo, primary navigation (Rheumatology / Dermatology / Gastroenterology), search, and mobile hamburger menu.","M","14","Multiple indication-aware nav states; sticky behavior; mobile/tablet breakpoints","https://www.rinvoqhcp.com","Header","Global","Sticky header with primary nav and search","Shared across all pages; indication-swap class drives active state"
"Homepage","Brand Explorer","Slide-in cross-brand navigation overlay listing all AbbVie immunology therapies (RINVOQ, SKYRIZI, HUMIRA) with indication links.","C","14","Multi-brand accordion overlay with dynamic links and indication state management","https://www.rinvoqhcp.com","Brand Explorer","Global","Cross-brand overlay navigation panel","Present on every page; triggered from AbbVie logo in header bar"
"Homepage","Safety Bar","Floating ISI bar fixed at bottom of viewport with expand/collapse toggle showing Indications and Important Safety Information (Boxed Warning).","C","14","Four content states (minimized desktop/mobile, more desktop/mobile, maximized); indication-swap for multi-condition ISI text","https://www.rinvoqhcp.com","Safety Bar","Global","Floating ISI with 4 visibility states","Regulatory requirement; maximized state shows full ISI text"
"Homepage","Hero Banner - Home","Full-width hero section with brushstroke background graphic, headline copy, and primary CTA button for the homepage.","M","1","Custom brushstroke background asset; responsive layout with content overlay","https://www.rinvoqhcp.com","Hero","Homepage Hero","Homepage variant with brushstroke graphic",""
"Homepage","Footer","Site footer with legal links (PI, Spanish PI, Contact Medical Info), utility links (Site Map, Privacy, Cookie Settings), legal copy, job code, and AbbVie logo.","S","14","Standard footer with regulatory links","https://www.rinvoqhcp.com","Footer","Global","Standard HCP site footer",""
"Specialty Hub Landing","Hero Banner - Specialty Hub","Glacier-tinted hero banner with indication-specific heading and navigation pill links to sub-pages (Safety, Dosing, Access, Efficacy per condition).","M","3","Indication-specific content swap; glacier gradient background; condition-group pill nav","https://www.rinvoqhcp.com/rheumatology","Hero","Specialty Hub","Hub page hero with sub-navigation pills",""
"Specialty Hub Landing","Section Navigation","Horizontal sticky secondary navigation bar with pills/links to section anchors within the specialty hub page.","S","3","Sticky scroll behavior; indication-specific link set","https://www.rinvoqhcp.com/rheumatology","Section Navigation","Specialty","Sticky in-page section navigation bar",""
"Condition Landing","Hero Banner - Condition","Condition-specific hero with brushstroke graphic, indication name headline (e.g. Atopic Dermatitis), subheading, and CTA buttons.","M","8","Per-condition content; brushstroke SVG background; responsive copy layout","https://www.rinvoqhcp.com/atopic-dermatitis","Hero","Condition Landing","Condition-specific hero with brushstroke background",""
"Condition Landing","Flexbox Content Section","Multi-column flexbox content layout for presenting key data points, callouts, or statistics with rich text and optional images.","M","8","Multi-column responsive; rich text content areas; various column count configurations","https://www.rinvoqhcp.com/atopic-dermatitis","Columns","Condition","Responsive multi-column content section",""
"Condition Landing","Titles","Centered or left-aligned heading block with H1/H2/H3 and optional subtitle/eyebrow text.","S","24","Simple text heading component","https://www.rinvoqhcp.com/atopic-dermatitis","Titles","General","Section heading / title block",""
"Condition Landing","Rich Text Block","Rich text content block supporting paragraphs, lists, footnotes, links, and inline superscripts for clinical copy.","S","40","Standard rich text with pharma formatting (footnotes, superscripts, references)","https://www.rinvoqhcp.com/atopic-dermatitis","Rich Text","General","Rich text body copy block","Supports indication-swap class for multi-condition text variants"
"Condition Landing","CTA Button","Single call-to-action link/button element with icon support (arrow-right circle). Used standalone or within flexbox containers.","S","60","Simple link element","https://www.rinvoqhcp.com/atopic-dermatitis","CTA","General","Standalone CTA button",""
"Condition Landing","CTA List","Vertical or horizontal list of multiple CTA links, typically used for sub-page navigation.","S","8","List of CTA links","https://www.rinvoqhcp.com/atopic-dermatitis","CTA","Navigation","List of CTA navigation links",""
"Efficacy (Clinical Data)","Tabs Component","Tabbed content interface for organizing clinical data by study, endpoint, or patient population.","C","8","Multiple tab panels; data-heavy content; stacked mobile layout; patient-profile tab variant","https://www.rinvoqhcp.com/atopic-dermatitis/efficacy","Tabs","Efficacy","Tabbed clinical data panels","Includes patient-profile-tabs and stacked-mobile variants"
"Efficacy (Clinical Data)","Image Text Block","Side-by-side image and text layout used for charts, graphs, and clinical data visualizations with accompanying copy.","M","16","Responsive image/text pairing; supports full-width and inline variants","https://www.rinvoqhcp.com/atopic-dermatitis/efficacy","Image Text","Efficacy","Image + text pairing for clinical charts",""
"Efficacy (Clinical Data)","Interactive Image","Annotated interactive image/chart with hover states and clickable data points for efficacy visualizations.","C","4","Interactive overlay states; accessibility requirements; complex JS behavior","https://www.rinvoqhcp.com/atopic-dermatitis/efficacy","Interactive Image","Efficacy","Interactive annotated clinical chart","Custom complex block"
"Efficacy (Clinical Data)","Accordion Block","Collapsible content accordion for organizing additional efficacy data, study details, or footnotes.","M","8","Expand/collapse animation; keyboard accessible; multiple items","https://www.rinvoqhcp.com/atopic-dermatitis/efficacy","Accordion","Efficacy","Collapsible efficacy data sections",""
"Efficacy (Clinical Data)","References Section","Numbered references list in a distinct styled container, typically at the bottom of clinical data pages.","S","14","Standard references list styling","https://www.rinvoqhcp.com/atopic-dermatitis/efficacy","Rich Text","General","Numbered references list","Uses brushstroke or glacier section background"
"Head-to-Head Comparison","Hero Banner - H2H","Split-design hero for head-to-head comparison pages (RINVOQ vs DUPIXENT Level Up) with brushstroke background and bold comparison headline.","M","1","Unique layout with brand color treatment; comparison-specific design","https://www.rinvoqhcp.com/atopic-dermatitis/efficacy/rinvoq-vs-dupixent/level-up","Hero","H2H","Head-to-head comparison hero",""
"Head-to-Head Comparison","Image Compare Slider","Side-by-side image comparison slider allowing users to drag a divider to compare two clinical results visually.","C","1","Custom JS slider interaction; accessibility; complex animation","https://www.rinvoqhcp.com/atopic-dermatitis/efficacy/rinvoq-vs-dupixent/level-up","Image Compare Slider","H2H","Drag-to-compare clinical data slider","Unique block found only on Level-Up H2H page"
"Head-to-Head Comparison","Image Text V2","Updated image-text layout block with enhanced responsive behavior and layout options for the H2H page.","M","4","Responsive image/text pairing with V2 enhancements","https://www.rinvoqhcp.com/atopic-dermatitis/efficacy/rinvoq-vs-dupixent/level-up","Image Text V2","H2H","Image + text V2 with layout options",""
"Safety Information","Hero Banner - Safety","Safety page hero with specialty-specific content (Rheumatology/Dermatology/Gastroenterology) and boxed-warning preamble.","M","3","Indication-specific content; safety-themed styling","https://www.rinvoqhcp.com/rheumatology/safety","Hero","Safety","Safety page hero banner",""
"Safety Information","Featured Section Container","Highlighted content container (glacier background) featuring key safety data, callouts, and risk factor information.","M","3","Glacier gradient background; featured callout styling","https://www.rinvoqhcp.com/rheumatology/safety","Columns","Safety","Glacier-background featured content section",""
"Dosing & Lab Monitoring","Hero Banner - Dosing","Dosing page hero with specialty-specific heading and pill navigation to dosing/lab monitoring sub-sections.","M","3","Specialty-specific; dosing table content","https://www.rinvoqhcp.com/rheumatology/dosing-lab-monitoring","Hero","Dosing","Dosing page hero",""
"Dosing & Lab Monitoring","Tabs Component - Dosing","Tabbed sections organizing dosing by condition or indication, with lab monitoring schedule tables.","C","3","Multi-tab dosing tables; indication-specific content; complex data tables","https://www.rinvoqhcp.com/rheumatology/dosing-lab-monitoring","Tabs","Dosing","Tabbed dosing and lab monitoring data",""
"Access & Reimbursement","Hero Banner - Access","Access page hero with specialty-specific heading and access program overview.","M","3","Specialty-specific access content","https://www.rinvoqhcp.com/rheumatology/access","Hero","Access","Access & reimbursement page hero",""
"Access & Reimbursement","Affordability Container","Specialty content block presenting RINVOQ Complete co-pay and affordability program details with CTA links.","M","3","Program-specific content; CTA integration; gradient background","https://www.rinvoqhcp.com/rheumatology/access","Columns","Access","Affordability/co-pay program section",""
"Access & Reimbursement","Formulary Container","Formulary status presentation block with payer/plan table data and coverage information.","C","3","Formulary data tables; dynamic coverage lookups","https://www.rinvoqhcp.com/rheumatology/access","Table","Access","Formulary coverage data block",""
"Access & Reimbursement","Gold CTA Callout","Highlighted gold-tinted callout box with CTA button for key access action (e.g. Start a Patient Enrollment).","S","3","Styled callout box with CTA","https://www.rinvoqhcp.com/rheumatology/access","CTA","Access","Gold highlighted CTA callout box",""
"Mechanism of Action","Hero Banner - MoA","Full-width MoA hero with global animation container (inner-content), smooth transition and scientific pathway graphics.","M","2","Animation container; MoA-specific visual design; global MoA variant","https://www.rinvoqhcp.com/mechanism-of-action","Hero","MoA","Mechanism of action animated hero",""
"Mechanism of Action","Video Player","Embedded video player block for MoA animation video with poster image, play button, and lazy loading.","M","2","Video embed with lazy load; poster image; accessibility controls","https://www.rinvoqhcp.com/mechanism-of-action","Video","MoA","Video player for MoA animation",""
