"Page Title","UI Component Name","Function description","Tshirt Sizing","Number of occurrences","Complexity justification","Page URL","Source block name","Variation type","Variation description","Other remarks"
"Homepage","Header Navigation","Sticky header with Venclexta logo, condition selector dropdown (Previously Untreated CLL/SLL, Previously Treated CLL/SLL, AML), utility nav (PI, Med Guide, Safety Info, HCP Modal) and search.","M","14","Condition-specific navigation state; utility nav with HCP gate modal; mobile hamburger","https://www.venclexta.com","Header","Global","Condition-aware header with utility nav","Condition selector drives indication-specific sub-navigation"
"Homepage","Footer","Site footer with legal links (PI, Med Guide, Abbvie.com links), copyright, and Venclexta branding.","S","14","Standard footer","https://www.venclexta.com","Footer","Global","Standard patient-site footer",""
"Homepage","Safety Bar","Floating ISI bar fixed at viewport bottom with expand/collapse for CLL ISI content and Boxed Warning.","C","14","Four states (minimized/more/maximized desktop+mobile); CLL and AML indication variants","https://www.venclexta.com","Safety Bar","Global","Floating ISI bar with 4 visibility states","abbv-cll-isi variant for CLL pages"
"Homepage","Hero Banner - Home","Full-width homepage hero with Venclexta brand photography, headline, subheading, and primary CTA buttons. Features venclexta-hero-nav-bg styling with condition navigation.","M","1","Brand photography; condition navigation pills; responsive hero layout","https://www.venclexta.com","Hero","Homepage","Homepage hero with condition nav pills",""
"Homepage","Modal - HCP Gate","Modal dialog confirming that the user is a healthcare professional before allowing navigation to the HCP site.","S","1","Simple confirmation modal with two CTAs","https://www.venclexta.com","Modal","Global","HCP site gate confirmation modal",""
"Indication Hub","Hero Banner - Indication Hub","Indication-specific hub hero with background image, condition name (Previously Untreated CLL/SLL or AML), and sub-navigation links to hub sections.","M","3","Per-indication content and imagery; sub-nav links below hero; condition-specific background","https://www.venclexta.com/previously-untreated-cll","Hero","Indication Hub","Indication hub hero with sub-nav",""
"Indication Hub","Section Navigation","Horizontal sticky secondary navigation with links to hub sub-pages (Why Venclexta, About CLL-SLL, Possible Side Effects, Taking Venclexta, Resources).","S","3","Sticky scroll; condition-specific link set","https://www.venclexta.com/previously-untreated-cll","Section Navigation","Indication","Sticky in-page section navigation",""
"Indication Hub","Background Container","Full-width content section with configurable background color (light gray, white) wrapping text and image content.","S","6","Background color variants; responsive wrapper","https://www.venclexta.com/previously-untreated-cll","Columns","General","Background-colored content container",""
"How It May Help","Hero Banner - How It May Help","Clinical data page hero with indication-specific headline (e.g. How VENCLEXTA+O May Help) and supporting subheading.","M","3","Clinical headline; indication-specific; clean hero without sub-nav","https://www.venclexta.com/previously-untreated-cll/why-venclexta/how-it-may-help","Hero","Clinical","Clinical data page hero",""
"How It May Help","Image Text V2","Responsive image and text side-by-side block used for presenting clinical data charts, response rate graphics, and supporting copy.","M","12","V2 responsive layout; clinical chart images; mobile stacking","https://www.venclexta.com/previously-untreated-cll/why-venclexta/how-it-may-help","Image Text V2","Clinical","Image + text V2 for clinical data charts",""
